Geography,TotalHouseholds,AverageHouseholdSize,FamilyHouseholds_Percent,HighSchool_or_Higher_Percent,RESIDENCE_1YEARSameHouse_Percent,DrugReports
"Accomack County, Virginia",7272,2.41,68.8,68.7,84.9,9
"Adair County, Kentucky",7811,2.47,70.7,73.6,85.7,7
"Adams County, Ohio",8319,2.51,73.9,87.2,84.6,265
"Adams County, Pennsylvania",3363,2.45,71.6,81.2,88.3,52
"Albemarle County, Virginia",16727,2.46,70.1,77,88,20
"Alexandria city, Virginia",4338,2.61,71.2,72.2,83.4,17
"Alleghany County, Virginia",10902,2.53,69.5,66,88.7,34
"Allegheny County, Pennsylvania",41612,2.74,73.3,90.5,85.2,3415
"Allen County, Kentucky",8132,2.41,68.2,81.9,84.1,30
"Allen County, Ohio",19542,2.39,66.7,83.9,84.7,140
"Amelia County, Virginia",10787,2.37,69.9,82.6,80.7,8
"Amherst County, Virginia",3177,2.67,70.6,74,89.3,64
"Anderson County, Kentucky",5257,2.66,63.5,62.6,90.8,34
"Appomattox County, Virginia",7474,2.61,72.6,76.1,87.8,3
"Arlington County, Virginia",27266,2.65,74.9,83.2,88.8,112
"Armstrong County, Pennsylvania",5175,2.43,69.6,72.6,88.7,124
"Ashland County, Ohio",5261,2.45,65,82.4,89.8,171
"Ashtabula County, Ohio",14844,2.26,61.4,85.4,80.7,104
"Athens County, Ohio",35300,2.41,63.6,86.9,85,267
"Auglaize County, Ohio",2062,2.44,73.2,78.9,92.5,55
"Augusta County, Virginia",4222,2.51,70.7,75,78.5,35
"Ballard County, Kentucky",10577,2.53,71,72.5,89.4,1
"Barbour County, West Virginia",6012,2.61,70.1,66.4,90.2,2
"Barren County, Kentucky",25923,2.59,72.3,84,76.9,62
"Bath County, Kentucky",14535,2.42,71.3,81.4,80.7,52
"Bath County, Virginia",6520,3.21,68.9,58.9,94.1,18
"Beaver County, Pennsylvania",4184,2.43,68,57.5,88.1,125
"Bedford city, Virginia",3749,2.45,65.4,75.3,92.3,2
"Bedford County, Pennsylvania",2660,2.58,66.4,70.5,94.5,46
"Bedford County, Virginia",37644,2.45,67,86.7,84.4,40
"Bell County, Kentucky",4752,2.43,73.8,76.3,83.9,263
"Belmont County, Ohio",2546,2.54,70,69.6,86.5,38
"Berkeley County, West Virginia",5604,2.61,70.1,67,90.4,173
"Berks County, Pennsylvania",120917,2.29,57.7,88.3,73.8,223
"Blair County, Pennsylvania",5568,2.55,71.7,74.7,88.4,231
"Bland County, Virginia",15542,2.48,69,68.9,86.8,12
"Boone County, Kentucky",20878,2.25,61.1,85.5,80.6,144
"Boone County, West Virginia",2931,2.22,70.5,77.6,85,40
"Botetourt County, Virginia",2971,2.75,66.1,71.3,81.1,56
"Bourbon County, Kentucky",6294,2.67,71.9,78.8,85.7,48
"Boyd County, Kentucky",8906,2.75,77.5,79.4,83.8,307
"Boyle County, Kentucky",14679,2.47,69.4,79.3,87.9,60
"Bracken County, Kentucky",9902,2.56,68.2,72.2,86.8,10
"Bradford County, Pennsylvania",4435,2.53,72.8,73.4,91.6,75
"Braxton County, West Virginia",14374,2.54,70,80.1,91.1,61
"Breathitt County, Kentucky",3234,2.62,73,84.1,87.3,104
"Breckinridge County, Kentucky",37426,2.58,72.6,87.4,80.3,13
"Bristol city, Virginia",10700,2.75,69.3,68.4,89.6,115
"Brooke County, West Virginia",7275,2.55,65.7,79.2,86,3
"Brown County, Ohio",7050,2.53,69.2,67.7,86.1,86
"Brunswick County, Virginia",18499,2.43,67.4,83.5,83.2,7
"Buchanan County, Virginia",5917,2.58,70.1,80,82.1,143
"Buckingham County, Virginia",2057,2.33,61,75.8,86.5,19
"Bucks County, Pennsylvania",18401,2.53,69.9,77.8,84.9,1421
"Buena Vista city, Virginia",5728,2.37,70.5,61.8,85.7,6
"Bullitt County, Kentucky",300561,2.38,61.6,86.9,84.3,126
"Butler County, Kentucky",17482,2.6,75.1,85.2,78.9,5
"Butler County, Ohio",9151,2.51,73.2,67.8,87.4,494
"Butler County, Pennsylvania",61912,2.52,65,87,83.3,81
"Cabell County, West Virginia",6012,2.65,72.2,67.1,90.8,166
"Caldwell County, Kentucky",12573,2.44,66.6,62.8,86.6,11
"Calhoun County, West Virginia",5005,2.78,71.2,76.8,89.6,3
"Calloway County, Kentucky",21714,2.64,73,74.2,83.7,4
"Cambria County, Pennsylvania",5647,2.77,70.1,70,87.3,154
"Cameron County, Pennsylvania",2750,2.49,70.1,65.3,87.5,5
"Campbell County, Kentucky",4450,2.56,66.3,56.8,94.3,230
"Campbell County, Virginia",9586,2.53,69.7,71,90.4,18
"Carbon County, Pennsylvania",5030,2.74,73.9,66.2,88.3,35
"Carlisle County, Kentucky",9983,2.47,67.8,72.5,87,6
"Caroline County, Virginia",3605,2.62,72.8,79.1,91.5,19
"Carroll County, Kentucky",10697,2.39,70.3,74.2,82.4,55
"Carroll County, Ohio",3272,2.02,71.4,81.2,84.3,12
"Carroll County, Virginia",27541,2.32,66,85.2,83.1,35
"Carter County, Kentucky",6351,2.6,72.4,64.7,81.4,239
"Casey County, Kentucky",3736,2.51,71.9,77.3,89,57
"Centre County, Pennsylvania",30756,2.45,65.2,83.8,77.3,65
"Champaign County, Ohio",4671,2.83,69.5,65.5,92.3,79
"Charles City County, Virginia",7135,2.54,65.6,78.4,87.7,0
"Charlotte County, Virginia",12795,2.42,72,83.2,89.4,8
"Charlottesville city, Virginia",4337,2.96,72.3,64.6,87.9,14
"Chesapeake city, Virginia",6674,2.46,71.3,77.9,79.7,167
"Chester County, Pennsylvania",10043,2.88,73.1,85,80.4,229
"Chesterfield County, Virginia",2345,2.71,66.8,68.8,91.4,217
"Christian County, Kentucky",8464,2.51,70.4,82.3,85.7,50
"Clarion County, Pennsylvania",3991,2.49,70.4,67.6,86.8,52
"Clark County, Kentucky",4347,2.51,65.2,74.6,89,159
"Clark County, Ohio",10066,2.56,68.9,75.7,86.3,33
"Clarke County, Virginia",4433,2.71,69.7,68.8,87.5,8
"Clay County, Kentucky",12364,2.43,72.2,76.5,87.1,84
"Clay County, West Virginia",16173,2.57,71.9,83.8,86.1,9
"Clearfield County, Pennsylvania",2741,2.55,73.4,75.7,87.7,72
"Clermont County, Ohio",8770,2.66,68.8,73.8,89.3,349
"Clinton County, Kentucky",19280,2.79,82,89.6,88,23
"Clinton County, Ohio",4679,2.33,69.9,81.3,87.9,138
"Clinton County, Pennsylvania",1487,3.06,72,57.7,90,13
"Colonial Heights city, Virginia",5326,2.72,71.9,77.9,86.9,43
"Columbia County, Pennsylvania",10816,2.63,69.4,68.7,88.2,37
"Columbiana County, Ohio",27022,2.38,71,71.2,87.9,61
"Coshocton County, Ohio",4701,2.65,72.5,70.8,85.4,9
"Covington city, Virginia",25872,2.37,68.3,76.1,84.5,0
"Craig County, Virginia",852,2.67,56,69.6,82.6,27
"Crawford County, Ohio",6475,2.58,71.7,68.5,87.9,81
"Crawford County, Pennsylvania",8285,2.46,67.1,76.5,80.1,59
"Crittenden County, Kentucky",7466,2.34,65.6,72.3,91.9,12
"Culpeper County, Virginia",17242,2.5,74.2,86.5,77,101
"Cumberland County, Kentucky",15051,2.61,73.2,83.1,83.5,7
"Cumberland County, Pennsylvania",6667,2.52,70.9,81.1,81.7,46
"Cumberland County, Virginia",6086,2.7,77,83.7,89.9,8
"Cuyahoga County, Ohio",9628,2.43,68.1,73.7,82.9,893
"Danville city, Virginia",4640,2.64,72.9,72.8,82.8,42
"Darke County, Ohio",6074,2.32,72.1,82.6,87,30
"Dauphin County, Pennsylvania",3390,2.6,75.7,79,86.8,369
"Daviess County, Kentucky",5639,2.46,69.7,82.5,87.1,38
"Defiance County, Ohio",41979,2.48,64,84.7,77.5,100
"Delaware County, Ohio",4463,2.58,74,80.6,89.4,1265
"Delaware County, Pennsylvania",8604,2.4,70.1,67.2,89.4,919
"Dickenson County, Virginia",4992,2.69,73,74.4,88.6,78
"Dinwiddie County, Virginia",13102,2.63,69.6,70.2,83.8,13
"Doddridge County, West Virginia",2493,2.9,67.8,57.2,96.6,8
"Edmonson County, Kentucky",10001,2.45,69.8,88.4,85.6,10
"Elk County, Pennsylvania",10754,2.63,70.7,74.7,88.7,24
"Elliott County, Kentucky",40719,2.51,68.2,87.2,84.5,86
"Emporia city, Virginia",20040,2.52,71.3,85.6,87,29
"Erie County, Ohio",38911,2.54,68,84.2,85.3,114
"Erie County, Pennsylvania",22283,2.44,54.9,86.8,67.3,203
"Essex County, Virginia",18209,2.49,72.3,90.3,87.4,5
"Estill County, Kentucky",29004,2.26,67.9,86.8,90.2,39
"Fairfax city, Virginia",15997,2.77,73.5,80,90.6,383
"Fairfax County, Virginia",134287,2.6,69.6,86.8,82.8,38
"Fairfield County, Ohio",11488,2.47,70.3,83.3,90.1,314
"Falls Church city, Virginia",15161,2.62,71.8,88.4,87.5,7
"Fauquier County, Virginia",55145,2.47,66.5,84.8,85.4,112
"Fayette County, Kentucky",72927,2.66,73.4,87.2,87.7,547
"Fayette County, Ohio",16323,2.54,72.1,86.3,84.4,33
"Fayette County, Pennsylvania",42162,2.48,69.8,85.3,86.4,194
"Fayette County, West Virginia",14582,2.53,67.5,85,87.8,25
"Fleming County, Kentucky",18105,2.41,67.7,85.8,82.8,49
"Floyd County, Kentucky",538944,2.35,59.2,86.4,84.6,177
"Floyd County, Virginia",20769,2.52,70,85.6,87.3,17
"Fluvanna County, Virginia",15232,2.52,72.2,87.8,86.3,6
"Forest County, Pennsylvania",61203,2.67,77.3,95.6,85.9,4
"Franklin city, Virginia",31855,2.38,67.1,88.9,88.9,5
"Franklin County, Kentucky",53911,2.63,73.8,91.6,84.8,108
"Franklin County, Ohio",11597,2.46,66.3,82.2,82.8,812
"Franklin County, Pennsylvania",457799,2.44,59.1,88.9,79.6,112
"Franklin County, Virginia",16345,2.59,74.1,88.3,88,69
"Frederick County, Virginia",12246,2.44,68.7,80.8,85.3,140
"Fredericksburg city, Virginia",34285,2.68,75.6,89.8,93.4,50
"Fulton County, Kentucky",61962,2.43,67.9,91.7,83.1,24
"Fulton County, Ohio",16217,2.47,67.7,84.3,87.5,13
"Fulton County, Pennsylvania",327864,2.39,59.9,87.7,82.5,34
"Galax city, Virginia",30632,2.37,66.6,90.7,82.2,4
"Gallatin County, Kentucky",11768,2.54,66.3,86.2,84.9,8
"Gallia County, Ohio",6377,2.46,66.2,83.6,90.4,240
"Garrard County, Kentucky",11111,2.5,69.6,87.6,89.7,27
"Geauga County, Ohio",16638,2.59,70.9,80,84.4,26
"Giles County, Virginia",11486,2.49,70.5,84,87.1,153
"Gilmer County, West Virginia",12120,3.4,79.5,56.3,94.2,0
"Gloucester County, Virginia",22972,2.57,72.2,86.4,85.6,34
"Goochland County, Virginia",13105,2.52,68.7,79.4,83.8,12
"Grant County, Kentucky",29130,2.31,65.3,87.3,90.8,39
"Grant County, West Virginia",22582,2.52,69,87.5,84,26
"Graves County, Kentucky",94211,2.41,66,90.7,89.3,14
"Grayson County, Kentucky",24631,2.5,68.5,82,86.8,49
"Grayson County, Virginia",62569,2.56,71.4,88.2,84.4,23
"Green County, Kentucky",18398,2.45,69.4,85.9,85.9,8
"Greenbrier County, West Virginia",114479,2.53,70.1,88.5,86.4,18
"Greene County, Ohio",179000,2.43,61.9,87.1,83.5,162
"Greene County, Pennsylvania",14745,2.53,70,84.4,82.3,80
"Greene County, Virginia",99024,2.38,64.4,87.3,88.9,11
"Greensville County, Virginia",24863,2.45,68.5,83,81.3,20
"Greenup County, Kentucky",64202,2.63,75.1,92.5,89.6,74
"Guernsey County, Ohio",9675,2.44,65.7,82.2,88.6,90
"Halifax County, Virginia",15606,2.6,73,88.3,90.9,44
"Hamilton County, Ohio",41087,2.46,69,87.5,85.9,3628
"Hampshire County, West Virginia",6174,2.36,68.2,85.5,94.8,0
"Hampton city, Virginia",223660,2.34,61.8,87.7,82.5,66
"Hancock County, Kentucky",6187,2.44,71.2,83,92.7,0
"Hancock County, Ohio",13037,2.63,74.9,86.3,88.3,124
"Hancock County, West Virginia",34121,2.48,67.6,86.5,86.1,92
"Hanover County, Virginia",4904,2.43,71,80.3,84.9,147
"Hardin County, Kentucky",17933,2.3,69.3,89.7,89.8,58
"Hardin County, Ohio",7661,2.55,73,86.1,88.2,190
"Hardy County, West Virginia",13554,2.63,71.6,84.2,87,16
"Harlan County, Kentucky",19045,2.63,73.7,82.9,82.6,284
"Harrison County, Kentucky",10643,2.64,72.9,77.4,83.6,61
"Harrison County, Ohio",61819,2.46,66.4,90.4,82.1,0
"Harrison County, West Virginia",16392,2.56,72.6,85.6,87.3,53
"Harrisonburg city, Virginia",12891,2.67,75.4,90.9,91.7,8
"Hart County, Kentucky",48557,2.45,67.6,84.3,84,2
"Henderson County, Kentucky",28107,2.52,68.9,82.3,84.1,8
"Henrico County, Virginia",24109,2.51,69.5,87.4,88.2,245
"Henry County, Kentucky",30162,2.51,67.3,81.2,85.1,10
"Henry County, Ohio",22138,2.49,68.6,87.5,85.1,5
"Henry County, Virginia",18488,2.63,72.7,85.5,87.4,26
"Hickman County, Kentucky",150921,2.43,66.9,87.8,86.6,0
"Highland County, Ohio",223122,2.4,63.9,89.5,89.2,194
"Highland County, Virginia",86463,2.42,65,86.5,90.3,1
"Hocking County, Ohio",36128,2.53,68.6,84.5,89.7,40
"Holmes County, Ohio",17826,2.68,74.1,90.3,87.1,17
"Hopewell city, Virginia",11472,2.5,69.6,89.9,88.7,24
"Hopkins County, Kentucky",5349,2.5,72.1,76.3,86.5,72
"Huntingdon County, Pennsylvania",74144,2.71,76.6,90.8,86.5,62
"Huron County, Ohio",25373,2.38,67.1,88,88.4,87
"Indiana County, Pennsylvania",42395,2.64,71.3,84.7,88.5,195
"Isle of Wight County, Virginia",14953,2.49,70.1,88.7,83.2,8
"Jackson County, Kentucky",48636,2.4,63.8,92.2,79.1,52
"Jackson County, Ohio",9169,2.44,68.6,87.6,87.5,232
"Jackson County, West Virginia",38331,2.53,72,84.7,86.5,12
"James City County, Virginia",522703,2.27,58.7,91.6,86.6,25
"Jefferson County, Kentucky",28814,2.37,68.8,87.7,91.2,1293
"Jefferson County, Ohio",70350,2.38,68,89.6,89.4,44
"Jefferson County, Pennsylvania",19913,2.49,70.9,83.9,91.2,70
"Jefferson County, West Virginia",153307,2.56,69.8,83.1,85.1,22
"Jessamine County, Kentucky",51651,2.39,65.9,89.7,87.5,204
"Johnson County, Kentucky",24861,2.48,67.7,85.4,88.9,143
"Juniata County, Pennsylvania",229552,2.65,72,91.9,92.5,6
"Kanawha County, West Virginia",71911,2.48,69.5,91.9,88.3,340
"Kenton County, Kentucky",58802,2.33,65.5,87.6,88.8,499
"King and Queen County, Virginia",2181,2.35,62.3,85.2,93.1,0
"King George County, Virginia",26111,2.45,69.2,86.7,89.9,32
"King William County, Virginia",54971,2.41,57.4,92.6,71.1,10
"Knott County, Kentucky",181136,2.63,71.2,92.5,88.5,165
"Knox County, Kentucky",15742,2.43,65.8,87.2,83.9,218
"Knox County, Ohio",32823,2.37,67.2,86,88.1,10
"Lackawanna County, Pennsylvania",15238,2.38,64,85.6,82.2,485
"Lake County, Ohio",25884,2.41,64.3,86.7,86,424
"Lancaster County, Pennsylvania",35456,2.42,66.6,85.8,86.4,383
"Lancaster County, Virginia",93739,2.31,64.7,90.4,84.6,2
"Larue County, Kentucky",107808,2.42,62,88.5,84.6,9
"Laurel County, Kentucky",206542,2.59,66.8,90.5,88.9,221
"Lawrence County, Kentucky",13743,2.33,65.9,89.8,93.1,66
"Lawrence County, Ohio",108252,2.46,64.5,89,83.9,110
"Lawrence County, Pennsylvania",55363,2.43,66.9,82.9,89.3,105
"Lebanon County, Pennsylvania",1996,2.69,64.4,80.7,79.3,68
"Lee County, Kentucky",58290,2.46,68.5,83.8,87.6,31
"Lee County, Virginia",5848,2.54,70.5,83.4,90.8,65
"Lehigh County, Pennsylvania",14010,2.58,69.4,83.9,85.2,407
"Leslie County, Kentucky",16876,2.42,67.4,85.5,86.4,56
"Letcher County, Kentucky",34375,2.44,65.6,86.7,81.7,162
"Lewis County, Kentucky",18236,2.47,68,86.9,91.2,39
"Lewis County, West Virginia",9037,2.69,74.5,80.1,90.9,0
"Lexington city, Virginia",86318,2.37,64.8,87.5,87.6,3
"Licking County, Ohio",191474,2.59,70.9,82.3,87.8,371
"Lincoln County, Kentucky",36587,2.44,68.6,86.5,91,13
"Lincoln County, West Virginia",51543,2.47,69.5,84.4,87.8,0
"Livingston County, Kentucky",132879,2.52,67.9,85.9,85.1,5
"Logan County, Kentucky",130855,2.36,63.8,87,88.1,9
"Logan County, Ohio",46612,2.4,67.2,85.9,86.5,75
"Logan County, West Virginia",17324,2.38,66.5,88.3,87.9,137
"Lorain County, Ohio",46681,2.35,67.1,87.1,87,37
"Loudoun County, Virginia",19051,2.42,66.5,80.8,90.5,149
"Louisa County, Virginia",59997,2.74,74.2,88.7,89.4,29
"Lucas County, Ohio",306661,2.51,68,92.6,89.1,750
"Lunenburg County, Virginia",7310,2.37,68.8,87.5,88.6,16
"Luzerne County, Pennsylvania",111929,2.52,69.5,87,85.8,452
"Lycoming County, Pennsylvania",39234,2.31,66.1,84.2,88.9,138
"Lynchburg city, Virginia",17943,2.5,72.7,85.4,88.6,47
"Lyon County, Kentucky",574488,2.53,54.2,79.4,86,15
"Madison County, Kentucky",22190,2.55,74,91.5,90.2,280
"Madison County, Ohio",7291,2.37,70.1,85.5,89,112
"Madison County, Virginia",60347,2.34,66.1,83.6,88.1,17
"Magoffin County, Kentucky",14258,2.58,71.3,81.6,89.3,43
"Mahoning County, Ohio",30319,2.46,67.5,82.9,90.8,626
"Manassas city, Virginia",2436,2.5,66.5,86.1,93.4,29
"Manassas Park city, Virginia",17225,2.48,69.7,86.8,90.9,0
"Marion County, Kentucky",17182,2.34,69.6,87.1,87.9,30
"Marion County, Ohio",14963,2.34,70.8,83.1,83.3,138
"Marion County, West Virginia",22457,2.4,67.3,87.3,87.1,145
"Marshall County, Kentucky",17630,2.33,66.2,88.9,89.9,11
"Marshall County, West Virginia",83604,2.42,66.5,89,88.7,30
"Martin County, Kentucky",19678,2.45,68.9,86.7,89.2,64
"Martinsville city, Virginia",152640,2.34,66.9,91.4,90.7,8
"Mason County, Kentucky",11023,2.52,70.1,89.1,90.4,160
"Mason County, West Virginia",166600,2.52,70.9,86.8,87.2,38
"Mathews County, Virginia",14085,2.39,64.3,78.9,91.5,6
"McCracken County, Kentucky",37459,2.45,64.9,90.9,80,51
"McCreary County, Kentucky",6964,2.29,68.4,81.8,91.6,62
"McDowell County, West Virginia",4901,2.51,70,78,91,27
"McKean County, Pennsylvania",12706,2.36,69.4,78.3,88.1,76
"McLean County, Kentucky",5976,2.44,72.8,79.8,90.5,8
"Meade County, Kentucky",91892,2.11,44.4,92.5,78,7
"Mecklenburg County, Virginia",27909,2.48,72.9,83.7,90.7,16
"Medina County, Ohio",2025,2.34,73.8,79.2,93.2,244
"Meigs County, Ohio",27150,2.49,74,85,90.3,43
"Menifee County, Kentucky",2580,2.44,77.2,83,92.2,15
"Mercer County, Kentucky",12918,2.49,75.9,89.2,91.6,23
"Mercer County, Ohio",6086,2.46,65.9,67.2,91.8,63
"Mercer County, Pennsylvania",9123,2.59,69.9,63.7,92.6,69
"Mercer County, West Virginia",4859,2.01,68.7,61.6,85.4,326
"Metcalfe County, Kentucky",22005,2.45,68.1,82.6,88.3,7
"Miami County, Ohio",10270,2.65,71.2,81.8,85.8,100
"Middlesex County, Virginia",12818,2.31,69.4,72.4,89.2,4
"Mifflin County, Pennsylvania",2713,2.66,66.9,74.8,95.4,26
"Mineral County, West Virginia",4415,2.85,71.3,71.6,91.8,32
"Mingo County, West Virginia",112404,2.71,75.3,89.4,86.3,119
"Monongalia County, West Virginia",5535,2.49,69.3,87.5,88.1,228
"Monroe County, Kentucky",1989,2.54,73.3,83.4,90.9,30
"Monroe County, Ohio",15834,2.77,75.4,82.6,84.3,2
"Monroe County, Pennsylvania",3969,2.48,66.9,72.5,87.8,152
"Monroe County, West Virginia",6170,2.56,66.9,64.2,90.1,35
"Montgomery County, Kentucky",9800,2.71,72.7,77.1,90.7,166
"Montgomery County, Ohio",4466,2.41,68.7,80.1,89.3,1685
"Montgomery County, Pennsylvania",381768,2.73,69.8,91.9,85.4,106
"Montgomery County, Virginia",22369,2.86,74.1,89.7,90.1,197
"Montour County, Pennsylvania",6334,2.37,68.4,79.5,89.2,2
"Morgan County, Kentucky",9128,2.66,75,85.5,91.7,33
"Morgan County, Ohio",23355,2.3,71.4,79.9,86.4,44
"Morgan County, West Virginia",28558,2.61,74.1,83,85.2,13
"Morrow County, Ohio",7100,2.39,69.5,80.3,86.8,47
"Muhlenberg County, Kentucky",14014,2.58,76,85.3,86.7,42
"Muskingum County, Ohio",6831,2.33,80,79.3,92,35
"Nelson County, Kentucky",6858,2.28,65.6,73.4,89.7,21
"Nelson County, Virginia",6709,2.65,70.8,79.5,89,1
"New Kent County, Virginia",3385,2.93,70,69.7,94,14
"Newport News city, Virginia",14650,2.45,66.7,72.9,86.7,229
"Nicholas County, Kentucky",36114,2.69,77.9,91.2,90.4,41
"Nicholas County, West Virginia",121767,2.43,64.4,89.1,82.3,83
"Noble County, Ohio",22909,2.37,68.5,72.3,85.5,2
"Norfolk city, Virginia",1130,2.12,71.9,73.7,86,160
"Northampton County, Pennsylvania",13553,2.55,75.7,86.2,90.7,407
"Northampton County, Virginia",25851,2.45,73.7,93.3,86.2,0
"Northumberland County, Pennsylvania",2815,2.46,69.7,75.8,96.7,37
"Northumberland County, Virginia",8194,2.65,73.6,90.2,83.3,5
"Norton city, Virginia",5909,2.62,76.8,87,91.8,2
"Nottoway County, Virginia",5421,2.06,67.4,82.3,93.1,3
"Ohio County, Kentucky",9836,2.51,69.4,71.5,88.1,43
